year,scenario,co2mass
2033,ssp245,3532867500000000.0
2034,ssp245,3557203900000000.0
2035,ssp245,3581458600000000.0
2036,ssp245,3605812000000000.0
2037,ssp245,3630172000000000.0
2038,ssp245,3654659300000000.0
2039,ssp245,3679154000000000.0
2040,ssp245,3703709200000000.0
2041,ssp245,3728393200000000.0
2042,ssp245,3753010300000000.0
2043,ssp245,3777761000000000.0
2044,ssp245,3802362200000000.0
2045,ssp245,3826998000000000.0
2046,ssp245,3851684800000000.0
2047,ssp245,3876153500000000.0
2048,ssp245,3900796700000000.0
2049,ssp245,3925230000000000.0
2050,ssp245,3949678500000000.0
2051,ssp245,3974189000000000.0
2052,ssp245,3998536200000000.0
2053,ssp245,4022491600000000.0
2054,ssp245,4046464800000000.0
2055,ssp245,4070064300000000.0
2056,ssp245,4093499000000000.0
2057,ssp245,4116859000000000.0
2058,ssp245,4139979000000000.0
2059,ssp245,4162495500000000.0
2060,ssp245,4185216700000000.0
2061,ssp245,4207637700000000.0
2062,ssp245,4229850200000000.0
2063,ssp245,4251463300000000.0
2064,ssp245,4272952600000000.0
2065,ssp245,4294095100000000.0
2066,ssp245,4314743500000000.0
2067,ssp245,4335132000000000.0
2068,ssp245,4355265100000000.0
2069,ssp245,4375057400000000.0
2070,ssp245,4394603800000000.0
2071,ssp245,4413685300000000.0
2072,ssp245,4432376000000000.0
2073,ssp245,4450484600000000.0
2074,ssp245,4467626000000000.0
2075,ssp245,4484403000000000.0
2076,ssp245,4500733500000000.0
2077,ssp245,4516364000000000.0
2078,ssp245,4531513700000000.0
2079,ssp245,4545566300000000.0
2080,ssp245,4559412000000000.0
2081,ssp245,4572485000000000.0
2082,ssp245,4585141700000000.0
2083,ssp245,4596974000000000.0
2084,ssp245,4608117700000000.0
2085,ssp245,4618536700000000.0
2086,ssp245,4627610400000000.0
2087,ssp245,4636488600000000.0
2088,ssp245,4644743500000000.0
2089,ssp245,4651705000000000.0
2090,ssp245,4658239400000000.0
2091,ssp245,4664256600000000.0
2092,ssp245,4669471000000000.0
2093,ssp245,4674129000000000.0
